Rank,Num Ways (5 cards),Sample,Abbrev,Description
1,4,   A K Q J T,   SF,   Royal Flush              
2,4,   K Q J T 9,   SF,   King-High Straight Flush 
3,4,   Q J T 9 8,   SF,   Queen-High Straight Flush
4,4,   J T 9 8 7,   SF,   Jack-High Straight Flush 
5,4,   T 9 8 7 6,   SF,"   Ten-High Straight Flush	 "
6,4,   9 8 7 6 5,   SF,   Nine-High Straight Flush 
7,4,   8 7 6 5 4,   SF,   Eight-High Straight Flush
8,4,   7 6 5 4 3,   SF,   Seven-High Straight Flush
9,4,   6 5 4 3 2,   SF,"   Six-High Straight Flush	 "
10,4,   5 4 3 2 A,   SF,   Five-High Straight Flush 
11,4,   A A A A K,   4K,"   Four Aces				 "
12,4,   A A A A Q,   4K,"   Four Aces				 "
13,4,   A A A A J,   4K,"   Four Aces				 "
14,4,   A A A A T,   4K,"   Four Aces				 "
15,4,   A A A A 9,   4K,"   Four Aces				 "
16,4,   A A A A 8,   4K,"   Four Aces				 "
17,4,   A A A A 7,   4K,"   Four Aces				 "
18,4,   A A A A 6,   4K,"   Four Aces				 "
19,4,   A A A A 5,   4K,"   Four Aces				 "
20,4,   A A A A 4,   4K,"   Four Aces				 "
21,4,   A A A A 3,   4K,"   Four Aces				 "
22,4,   A A A A 2,   4K,"   Four Aces				 "
23,4,   K K K K A,   4K,"   Four Kings				 "
24,4,   K K K K Q,   4K,"   Four Kings				 "
25,4,   K K K K J,   4K,"   Four Kings				 "
26,4,   K K K K T,   4K,"   Four Kings				 "
27,4,   K K K K 9,   4K,"   Four Kings				 "
28,4,   K K K K 8,   4K,"   Four Kings				 "
29,4,   K K K K 7,   4K,"   Four Kings				 "
30,4,   K K K K 6,   4K,"   Four Kings				 "
31,4,   K K K K 5,   4K,"   Four Kings				 "
32,4,   K K K K 4,   4K,"   Four Kings				 "
33,4,   K K K K 3,   4K,"   Four Kings				 "
34,4,   K K K K 2,   4K,"   Four Kings				 "
35,4,   Q Q Q Q A,   4K,"   Four Queens				 "
36,4,   Q Q Q Q K,   4K,"   Four Queens				 "
37,4,   Q Q Q Q J,   4K,"   Four Queens				 "
38,4,   Q Q Q Q T,   4K,"   Four Queens				 "
39,4,   Q Q Q Q 9,   4K,"   Four Queens				 "
40,4,   Q Q Q Q 8,   4K,"   Four Queens				 "
41,4,   Q Q Q Q 7,   4K,"   Four Queens				 "
42,4,   Q Q Q Q 6,   4K,"   Four Queens				 "
43,4,   Q Q Q Q 5,   4K,"   Four Queens				 "
44,4,   Q Q Q Q 4,   4K,"   Four Queens				 "
45,4,   Q Q Q Q 3,   4K,"   Four Queens				 "
46,4,   Q Q Q Q 2,   4K,"   Four Queens				 "
47,4,   J J J J A,   4K,"   Four Jacks				 "
48,4,   J J J J K,   4K,"   Four Jacks				 "
49,4,   J J J J Q,   4K,"   Four Jacks				 "
50,4,   J J J J T,   4K,"   Four Jacks				 "
51,4,   J J J J 9,   4K,"   Four Jacks				 "
52,4,   J J J J 8,   4K,"   Four Jacks				 "
53,4,   J J J J 7,   4K,"   Four Jacks				 "
54,4,   J J J J 6,   4K,"   Four Jacks				 "
55,4,   J J J J 5,   4K,"   Four Jacks				 "
56,4,   J J J J 4,   4K,"   Four Jacks				 "
